Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
154276 (2002 SY50),1.06,0.143,4.823,17.69,2459800.5,0.6887,1.705,0.531,8.75,34.05,99.67,293.78,2.88,0.4427,0.0041,1
154302 (2002 UQ3),,,4.329,17.69,2459800.5,0.5614,1.72,0.754,28.82,222.73,280.96,240.81,2.69,0.4369,0.0398,1
154330 (2002 VX94),,,8.932,18.18,2459800.5,0.4089,1.477,0.873,7.16,320.09,215.2,273.98,2.08,0.5493,0.0321,1
154590 (2003 MA3),0.086,0.53,,21.71,2459800.5,0.4022,1.105,0.661,1.42,152.67,228.86,98.37,1.55,0.8483,0.0132,1
155338 (2006 MZ1),,,,20.4,2459800.5,0.4827,1.569,0.812,2.08,226.6,138.66,40.07,2.33,0.5015,0.0129,1
159504 (2000 WO67),2.324,0.052,7.84,16.99,2459800.5,0.6174,2.434,0.931,9.69,107.58,237.81,291.2,3.94,0.2596,0.0493,1
159857 (2004 LJ1),3.07,0.13,2.7247,15.47,2459800.5,0.5937,2.263,0.919,23.14,235.56,139.97,87.86,3.61,0.2895,0.0164,1
161989 Cacus (1978 CA),1.9,0.09,3.7538,17.34,2459800.5,0.2139,1.123,0.883,26.06,161.23,102.18,35.89,1.36,0.828,0.0154,1
162000 (1990 OS),0.4,,2.536,19.64,2459800.5,0.4626,1.678,0.902,1.09,346.53,21.56,237.05,2.45,0.4533,0.009,1
162039 (1996 JG),,,,19.06,2459800.5,0.6606,1.802,0.611,5.28,52.83,280.26,280.17,2.99,0.4076,0.0121,1
162082 (1998 HL1),,,11.7864,19.12,2459800.5,0.1871,1.246,1.013,20.05,213.53,148.66,21.51,1.48,0.7084,0.0422,1
162116 (1998 SA15),0.538,0.116,,19.49,2459800.5,0.5582,1.916,0.847,7.11,114.19,331.41,330.43,2.99,0.3716,0.0461,1
162120 (1998 SH36),,,,20.72,2459800.5,0.5709,1.088,0.467,2.13,217.84,278.83,304.59,1.71,0.8686,0.0119,1
162162 (1999 DB7),,,,20.04,2459800.5,0.1949,1.206,0.971,10.84,157.6,29.9,234.83,1.44,0.7444,0.00309,1
162173 Ryugu (1999 JU3),0.896,0.045,7.63262,19.38,2459800.5,0.1911,1.191,0.963,5.87,251.3,211.62,80.66,1.42,0.7583,0.00194,1
162183 (1999 NB5),,,,21.25,2459800.5,0.5353,2.073,0.963,1.43,235.32,123.18,238.8,3.18,0.3302,0.013,1
