Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 PK3),,,,21.98,2459800.5,0.5977,1.888,0.76,17.1,122.41,109.45,165.15,3.02,0.3799,0.00189,1
       (2008 PL3),,,,19.2,2459800.5,0.444,2.279,1.267,5.46,355.05,353.03,14.11,3.29,0.2865,0.261,0
       (2008 PW4),,,,22.3,2459800.5,0.2729,1.162,0.845,2.68,116.82,295.42,2.56,1.48,0.7867,0.00409,0
       (2008 PG7),,,,21.6,2454686.5,0.3689,1.532,0.967,39.78,137.9,253.47,322.06,2.1,0.5199,0.164,0
       (2008 PJ9),,,,21.9,2459800.5,0.6608,2.548,0.864,4.77,115.31,135.06,172.21,4.23,0.2423,0.00914,1
       (2008 PK9),,,,23.2,2454687.5,0.7245,1.637,0.451,27.39,318.49,108.02,335.66,2.82,0.4705,0.00523,0
       (2008 PR9),,,,22.46,2459800.5,0.5117,0.9435,0.461,3.31,18.72,75.64,14.53,1.43,1.075,0.0223,0
       (2008 PV16),,,,21.3,2454693.5,0.5918,1.869,0.763,33.94,146.25,260.16,337.09,2.97,0.3858,0.0659,0
       (2008 QB),,,,20.8,2459800.5,0.7389,1.206,0.315,35.76,146.91,314.24,152.37,2.1,0.7441,0.0541,0
       (2008 QC),,,,20.6,2459800.5,0.5205,2.272,1.09,11.12,16.87,301.56,30.11,3.46,0.2877,0.163,0
       (2008 QZ),,,,20.4,2459800.5,0.4231,2.17,1.252,6.83,160.63,194.36,126.73,3.09,0.3084,0.248,0
       (2008 QA1),,,,22.5,2454707.5,0.5139,2.219,1.079,26.44,336.74,28.22,352.01,3.36,0.2981,0.108,0
       (2008 QC1),,,,24.2,2459800.5,0.6076,2.66,1.044,3.68,136.61,179.47,79.83,4.28,0.2272,0.0296,0
       (2008 QM2),,,,23.8,2454706.5,0.313,1.544,1.061,23.74,332.69,8.94,357.28,2.03,0.5137,0.0531,0
       (2008 QU3),,,,20.64,2459800.5,0.2479,0.8687,0.653,14.07,303.55,241.36,209.33,1.08,1.217,0.0648,0
       (2008 QS11),0.453,0.094,46.65,19.9,2459800.5,0.4826,1.861,0.963,12.49,11.51,30.71,154.07,2.76,0.3882,0.00758,1
       (2008 QT11),,,,22.5,2459800.5,0.3786,1.376,0.855,6.81,128.43,134.31,267.33,1.9,0.611,0.0355,0
       (2008 QU11),,,,25.5,2454707.5,0.4958,1.783,0.899,7.99,156.83,122.75,18.68,2.67,0.4138,0.0198,0
       (2008 QV11),,,,21.34,2459800.5,0.4528,0.9079,0.497,8.28,114.33,7.43,287.08,1.32,1.139,0.0983,0
       (2008 QW11),,,,23.3,2459800.5,0.5422,2.318,1.061,2.73,101.71,240.38,341.75,3.57,0.2793,0.0668,0
       (2008 RT),,,,19.8,2459800.5,0.5649,2.489,1.083,21.23,17.47,13.41,189.89,3.89,0.251,0.0942,0
       (2008 RU),,,,22.4,2459800.5,0.646,2.108,0.746,7.2,139.8,274.9,184.69,3.47,0.3221,0.0367,0
       (2008 RV),,,,21.7,2459800.5,0.5641,2.269,0.989,2.28,119.91,192.38,32.74,3.55,0.2884,0.00673,1
       (2008 RW),,,,22.8,2454714.5,0.5329,1.983,0.927,4.4,136.1,255.53,346.15,3.04,0.3528,0.0443,0
       (2008 RE1),,,,23,2459800.5,0.5237,2.265,1.079,5.81,5.08,352.96,26.22,3.45,0.2891,0.0764,0
       (2008 RH1),,,,22.6,2459800.5,0.1618,1.063,0.891,7.47,350.75,147.51,109.32,1.24,0.8987,0.0701,0
       (2008 RK1),,,,22.2,2459800.5,0.5788,2.774,1.168,6.66,350.27,349.26,356.69,4.38,0.2133,0.161,0
       (2008 RQ24),,,7.97,20.8,2459800.5,0.4279,2.173,1.243,6.04,201.01,144.77,126.02,3.1,0.3076,0.246,0
       (2008 RR24),,,,21.2,2459800.5,0.4524,1.282,0.702,32.51,340.51,103.2,163.5,1.86,0.6791,0.0534,0
       (2008 RS24),,,,22.6,2454716.5,0.6163,2.104,0.807,17.22,160.18,264.25,338.46,3.4,0.323,0.102,0
       (2008 RT24),,,,24.4,2454717.5,0.4185,1.816,1.056,6.93,162.01,212.67,348.49,2.58,0.4027,0.0737,0
       (2008 RW24),,,,22.9,2459800.5,0.5001,1.75,0.875,2.15,14.77,38.91,340.24,2.63,0.4256,0.00835,0
       (2008 RX24),,,,21.4,2459800.5,0.4394,2.288,1.283,2.02,7.32,340.27,8.51,3.29,0.2848,0.276,0
       (2008 RZ24),,,,20.2,2459800.5,0.5637,2.175,0.949,13.97,165.4,122.64,139.78,3.4,0.3073,0.0732,0
       (2008 RS26),,,,17.8,2459800.5,0.5931,3.009,1.224,19.71,100.13,300.15,219.67,4.79,0.1888,0.356,0
       (2008 RM98),,,,20.4,2459800.5,0.6435,2.552,0.91,1.9,284.7,166.96,110.66,4.19,0.2417,0.0125,1
       (2008 RP108),,,,20.1,2459800.5,0.4151,2.125,1.243,5.7,180.45,148.69,186.1,3.01,0.3181,0.239,0
       (2008 SA),,,0.1297,25,2459800.5,0.3329,1.326,0.885,2.64,353.99,64.52,0.53,1.77,0.6453,0.00503,0
       (2008 SC),,,,21.7,2454730.5,0.7018,1.091,0.325,16.81,6.87,122.53,313.48,1.86,0.8645,0.0344,1
